path,split,no_gain_candidate,causeless,uniform_fallen,uniform_lie_down,group,labels_16,n_labels,frames,total_frames,pred_fall,pred_fallen,pred_normal
fall/fall_ch_001,train,False,False,False,False,-,fall+kneeling,2,fall:16/kneeling:65,81,,,
fall/fall_ch_002,train,False,False,False,False,-,fall+fallen+kneeling,3,fall:17/fallen:62/kneeling:2,81,,,
fall/fall_ch_003,train,False,False,False,False,-,fall,1,fall:81,81,,,
fall/fall_ch_004,train,False,False,False,False,-,fall+sitting,2,fall:48/sitting:33,81,,,
fall/fall_ch_005,train,False,False,False,False,-,walk+fall+stand_up+other+jump,5,walk:13/fall:13/stand_up:21/other:21/jump:13,81,,,
fall/fall_ch_006,train,False,False,False,False,-,fall+fallen+standing,3,fall:42/fallen:25/standing:14,81,,,
fall/fall_ch_007,test,False,False,False,False,-,fall,1,fall:81,81,41.0,0.0,39.0
fall/fall_ch_008,train,False,False,False,False,-,fall+sitting,2,fall:38/sitting:43,81,,,
fall/fall_ch_009,train,False,False,False,False,-,fall,1,fall:81,81,,,
fall/fall_ch_010,test,False,False,False,False,-,walk+fall+jump,3,walk:32/fall:42/jump:7,81,56.0,0.0,24.0
fall/fall_ch_011,train,False,False,False,False,-,fall+sit_down+sitting+standing,4,fall:37/sit_down:21/sitting:2/standing:21,81,,,
fall/fall_ch_012,train,False,False,False,False,-,walk+fall,2,walk:28/fall:53,81,,,
fall/fall_ch_013,train,False,False,False,False,-,fall+fallen,2,fall:58/fallen:23,81,,,
fall/fall_ch_014,train,False,False,False,False,-,fall+fallen,2,fall:58/fallen:23,81,,,
fall/fall_ch_015,train,False,False,False,False,-,fall+stand_up+jump,3,fall:38/stand_up:34/jump:9,81,,,
fall/fall_ch_016,train,False,False,False,False,-,fall+fallen,2,fall:47/fallen:34,81,,,
fall/fall_ch_017,train,False,False,False,False,-,fall,1,fall:81,81,,,
fall/fall_ch_018,train,False,False,False,False,-,walk+fall+kneeling,3,walk:19/fall:44/kneeling:18,81,,,
fall/fall_ch_019,test,False,False,False,False,-,fall+other,2,fall:58/other:23,81,63.0,0.0,17.0
fall/fall_ch_020,train,False,False,False,False,-,walk+fall+stand_up+standing,4,walk:29/fall:16/stand_up:27/standing:9,81,,,
fall/fall_ch_021,train,False,False,False,False,-,fall+stand_up,2,fall:37/stand_up:44,81,,,
fall/fall_ch_022,train,False,False,False,False,-,fall,1,fall:81,81,,,
fall/fall_ch_023,train,False,False,False,False,-,fall+sitting+stand_up+standing,4,fall:35/sitting:9/stand_up:30/standing:7,81,,,
fall/fall_ch_024,train,False,False,False,False,-,fall+other,2,fall:21/other:60,81,,,
fall/fall_ch_025,train,False,False,False,False,-,fall+sitting+stand_up,3,fall:34/sitting:34/stand_up:13,81,,,
fall/fall_ch_026,val,False,False,False,False,-,fall+fallen,2,fall:58/fallen:23,81,,,
