path,n_frames,has_event_gt,wrong_raw,wrong_corr,rule_saved,gt_16dist,raw_fall_missed,raw_fall_as_fallen,raw_fallen_missed,raw_fallen_as_fall,raw_lying_event_fp,raw_other_normal_fp,corr_fall_missed,corr_fall_as_fallen,corr_fallen_missed,corr_fallen_as_fall,corr_lying_event_fp,corr_other_normal_fp
fall/fall_el_121,80,True,80,80,0,1:80,80,0,0,0,0,0,80,0,0,0,0,0
fall/fall_yo_021,80,False,80,80,0,9:80,0,0,0,0,0,80,0,0,0,0,0,80
fallen/fallen_el_128,80,False,80,80,0,3:8 5:19 6:53,0,0,0,0,72,8,0,0,0,0,72,8
fallen/fallen_mi_075,80,True,80,80,0,1:11 2:69,11,0,69,0,0,0,11,0,69,0,0,0
fallen/fallen_mi_085,80,False,80,80,0,3:16 4:64,0,0,0,0,0,80,0,0,0,0,0,80
fallen/fallen_te_081,80,True,80,80,0,1:3 2:77,3,0,77,0,0,0,3,0,77,0,0,0
fallen/fallen_te_100,80,True,80,80,0,2:80,0,0,80,0,0,0,0,0,80,0,0,0
fallen/fallen_to_061,80,True,80,80,0,1:36 2:44,36,0,44,0,0,0,36,0,44,0,0,0
fallen/fallen_to_145,80,True,80,80,0,1:17 2:63,17,0,63,0,0,0,17,0,63,0,0,0
fallen/fallen_to_147,80,True,80,80,0,1:17 2:63,17,0,63,0,0,0,17,0,63,0,0,0
lie_down/lie_down_te_123,80,False,80,80,0,5:27 6:53,0,0,0,0,80,0,0,0,0,0,80,0
lie_down/lie_down_to_042,80,True,80,80,0,1:80,80,0,0,0,0,0,80,0,0,0,0,0
lying/lying_ch_012,80,False,80,80,0,6:80,0,0,0,0,80,0,0,0,0,0,80,0
lying/lying_ch_129,80,False,80,80,0,6:80,0,0,0,0,80,0,0,0,0,0,80,0
lying/lying_mi_199,80,False,80,80,0,6:80,0,0,0,0,80,0,0,0,0,0,80,0
lying/lying_te_175,80,False,80,80,0,6:80,0,0,0,0,80,0,0,0,0,0,80,0
lying/lying_to_039,80,False,80,80,0,6:80,0,0,0,0,80,0,0,0,0,0,80,0
lying/lying_to_095,80,False,80,80,0,6:80,0,0,0,0,80,0,0,0,0,0,80,0
lying/lying_to_107,80,False,80,80,0,6:80,0,0,0,0,80,0,0,0,0,0,80,0
other/other_to_164,80,False,80,80,0,9:80,0,0,0,0,0,80,0,0,0,0,0,80
fallen/fallen_mi_098,80,True,79,79,0,1:26 2:54,25,0,54,0,0,0,25,0,54,0,0,0
lie_down/lie_down_el_047,80,False,79,79,0,5:80,0,0,0,0,79,0,0,0,0,0,79,0
lie_down/lie_down_yo_103,80,False,79,79,0,5:15 6:65,0,0,0,0,79,0,0,0,0,0,79,0
fall/fall_mi_189,80,True,55,78,-23,1:57 2:23,34,21,0,0,0,0,55,0,23,0,0,0
fall/fall_te_007,80,True,77,77,0,1:44 2:36,41,0,36,0,0,0,41,0,36,0,0,0
lying/lying_te_140,80,False,75,75,0,6:80,0,0,0,0,75,0,0,0,0,0,75,0
fallen/fallen_ch_014,80,True,74,74,0,1:6 4:62 7:12,0,0,0,0,0,74,0,0,0,0,0,74
fall/fall_to_187,80,False,73,73,0,9:80,0,0,0,0,0,73,0,0,0,0,0,73
fall/fall_mi_075,80,False,72,72,0,5:21 7:25 9:34,0,0,0,0,21,51,0,0,0,0,21,51
fallen/fallen_mi_172,80,False,72,72,0,5:24 6:56,0,0,0,0,72,0,0,0,0,0,72,0
fallen/fallen_to_086,80,True,72,72,0,1:11 2:69,3,0,69,0,0,0,3,0,69,0,0,0
fallen/fallen_to_092,80,False,72,72,0,5:16 6:64,0,0,0,0,72,0,0,0,0,0,72,0
other/other_mi_111,80,False,72,72,0,7:40 12:37 13:3,0,0,0,0,0,72,0,0,0,0,0,72
fall/fall_to_120,80,True,71,71,0,1:80,65,6,0,0,0,0,71,0,0,0,0,0
fallen/fallen_el_004,80,True,69,69,0,1:11 2:69,0,0,65,4,0,0,0,0,65,4,0,0
fallen/fallen_te_190,80,True,69,69,0,1:11 2:69,0,0,62,7,0,0,0,0,62,7,0,0
fallen/fallen_yo_097,80,True,69,69,0,1:11 4:69,0,0,0,0,0,69,0,0,0,0,0,69
fall/fall_ch_107,80,True,68,68,0,1:80,68,0,0,0,0,0,68,0,0,0,0,0
fallen/fallen_mi_080,80,True,66,66,0,1:29 2:37 8:14,29,0,37,0,0,0,29,0,37,0,0,0
other/other_yo_014,80,False,65,65,0,9:80,0,0,0,0,0,65,0,0,0,0,0,65
fallen/fallen_ch_190,80,True,64,64,0,1:17 2:63,1,0,63,0,0,0,1,0,63,0,0,0
fallen/fallen_el_043,80,True,64,64,0,1:16 2:64,0,0,64,0,0,0,0,0,64,0,0,0
fall/fall_el_140,80,True,63,63,0,1:17 4:53 7:10,0,0,0,0,0,63,0,0,0,0,0,63
fall/fall_te_035,80,True,62,62,0,1:18 2:50 9:12,0,0,17,33,0,12,0,0,17,33,0,12
fall/fall_yo_114,80,True,62,62,0,1:21 4:40 7:19,0,3,0,0,0,59,0,3,0,0,0,59
fall/fall_te_158,80,True,60,60,0,1:17 9:63,0,3,0,0,0,57,0,3,0,0,0,57
fall/fall_yo_167,80,True,58,58,0,1:22 9:58,0,0,0,0,0,58,0,0,0,0,0,58
fall/fall_ch_129,80,True,57,57,0,1:22 2:45 8:13,0,0,15,30,0,12,0,0,15,30,0,12
fall/fall_yo_105,80,True,56,56,0,1:24 13:6 15:50,0,0,0,0,0,56,0,0,0,0,0,56
lying/lying_mi_134,80,False,56,56,0,6:80,0,0,0,0,56,0,0,0,0,0,56,0
fallen/fallen_el_125,80,True,55,55,0,1:25 4:55,0,0,0,0,0,55,0,0,0,0,0,55
fall/fall_to_042,80,True,38,54,-16,1:38 2:16 8:26,28,4,0,0,0,6,32,0,16,0,0,6
fall/fall_el_118,80,False,52,52,0,9:80,0,0,0,0,0,52,0,0,0,0,0,52
fall/fall_yo_053,80,True,52,52,0,1:80,7,45,0,0,0,0,7,45,0,0,0,0
fall/fall_ch_059,80,True,51,51,0,1:21 9:59,0,0,0,0,0,51,0,0,0,0,0,51
fall/fall_to_178,80,True,51,51,0,1:29 10:31 15:20,0,0,0,0,0,51,0,0,0,0,0,51
lie_down/lie_down_el_078,80,False,51,51,0,5:56 6:24,0,0,0,0,51,0,0,0,0,0,51,0
fallen/fallen_el_095,80,True,50,50,0,1:80,49,1,0,0,0,0,49,1,0,0,0,0
fallen/fallen_el_189,80,True,50,50,0,1:16 2:23 4:41,0,0,0,9,0,41,0,0,0,9,0,41
fallen/fallen_yo_170,80,True,50,50,0,1:9 2:71,0,0,44,6,0,0,0,0,44,6,0,0
lying/lying_to_127,80,False,50,50,0,6:80,0,0,0,0,50,0,0,0,0,0,50,0
fallen/fallen_to_042,80,True,49,49,0,1:6 2:74,0,0,41,8,0,0,0,0,41,8,0,0
fall/fall_yo_071,80,True,46,46,0,1:32 2:48,0,0,0,46,0,0,0,0,0,46,0,0
fallen/fallen_el_131,80,True,46,46,0,1:11 6:56 7:13,0,0,0,0,33,13,0,0,0,0,33,13
fall/fall_ch_028,80,True,45,45,0,1:19 9:61,0,0,0,0,0,45,0,0,0,0,0,45
fall/fall_to_029,80,True,44,44,0,0:8 1:9 2:4 4:8 7:51,0,0,0,4,0,40,0,0,0,4,0,40
fall/fall_yo_144,80,True,44,44,0,1:16 2:42 9:22,0,0,34,2,0,8,0,0,34,2,0,8
fall/fall_mi_024,80,True,43,43,0,1:29 2:51,0,0,0,43,0,0,0,0,0,43,0,0
lie_down/lie_down_yo_068,80,False,42,42,0,5:34 6:46,0,0,0,0,42,0,0,0,0,0,42,0
sit_down/sit_down_yo_120,80,False,41,41,0,0:11 3:26 4:43,0,0,0,0,0,41,0,0,0,0,0,41
stand_up/stand_up_yo_033,80,False,41,41,0,6:40 7:40,0,0,0,0,40,1,0,0,0,0,40,1
fall/fall_ch_097,80,False,40,40,0,9:80,0,0,0,0,0,40,0,0,0,0,0,40
fall/fall_ch_007,80,True,39,39,0,1:80,39,0,0,0,0,0,39,0,0,0,0,0
fall/fall_mi_089,80,True,39,39,0,1:29 2:17 7:34,0,5,0,0,0,34,0,5,0,0,0,34
fall/fall_te_060,80,True,39,39,0,1:30 2:50,0,0,10,29,0,0,0,0,10,29,0,0
fallen/fallen_te_183,80,True,39,39,0,0:10 1:24 2:46,0,0,9,20,0,10,0,0,9,20,0,10
fallen/fallen_yo_162,80,True,39,39,0,2:80,0,0,18,21,0,0,0,0,18,21,0,0
standing/standing_te_171,80,False,38,38,0,8:80,0,0,0,0,0,38,0,0,0,0,0,38
fall/fall_el_008,80,True,37,37,0,1:62 4:18,23,14,0,0,0,0,23,14,0,0,0,0
fall/fall_el_025,80,True,37,37,0,1:12 2:3 7:65,0,0,0,3,0,34,0,0,0,3,0,34
fall/fall_el_188,80,True,37,37,0,1:13 2:29 7:16 11:22,0,0,0,4,0,33,0,0,0,4,0,33
