
=============== [2026-09-13 04:51:23] PIPELINE START (tag=tsm_fair) ===============


=============== [2026-09-13 04:51:23] F1: deleting old cropped frames and re-extracting FULL-FRAME frames (12,000 videos, ~25 GB) ===============

[prep_p10_frames] 12000 videos, workers=32, size=256
  50/12000  6.3 vid/s  ok=50 skip=0 decode_failed=0 missing=0
  100/12000  7.1 vid/s  ok=100 skip=0 decode_failed=0 missing=0
  150/12000  7.6 vid/s  ok=150 skip=0 decode_failed=0 missing=0
  200/12000  8.0 vid/s  ok=200 skip=0 decode_failed=0 missing=0
  250/12000  8.3 vid/s  ok=250 skip=0 decode_failed=0 missing=0
  300/12000  8.8 vid/s  ok=300 skip=0 decode_failed=0 missing=0
  350/12000  8.9 vid/s  ok=350 skip=0 decode_failed=0 missing=0
  400/12000  9.1 vid/s  ok=400 skip=0 decode_failed=0 missing=0
  450/12000  9.3 vid/s  ok=450 skip=0 decode_failed=0 missing=0
  500/12000  9.4 vid/s  ok=500 skip=0 decode_failed=0 missing=0
  550/12000  9.5 vid/s  ok=550 skip=0 decode_failed=0 missing=0
  600/12000  9.6 vid/s  ok=600 skip=0 decode_failed=0 missing=0
  650/12000  9.7 vid/s  ok=650 skip=0 decode_failed=0 missing=0
  700/12000  9.7 vid/s  ok=700 skip=0 decode_failed=0 missing=0
  750/12000  9.8 vid/s  ok=750 skip=0 decode_failed=0 missing=0
  800/12000  9.8 vid/s  ok=800 skip=0 decode_failed=0 missing=0
  850/12000  9.9 vid/s  ok=850 skip=0 decode_failed=0 missing=0
  900/12000  9.8 vid/s  ok=900 skip=0 decode_failed=0 missing=0
  950/12000  10.0 vid/s  ok=950 skip=0 decode_failed=0 missing=0
  1000/12000  10.0 vid/s  ok=1000 skip=0 decode_failed=0 missing=0
  1050/12000  10.1 vid/s  ok=1050 skip=0 decode_failed=0 missing=0
  1100/12000  10.1 vid/s  ok=1100 skip=0 decode_failed=0 missing=0
  1150/12000  10.2 vid/s  ok=1150 skip=0 decode_failed=0 missing=0
  1200/12000  10.2 vid/s  ok=1200 skip=0 decode_failed=0 missing=0
  1250/12000  10.3 vid/s  ok=1250 skip=0 decode_failed=0 missing=0
  1300/12000  10.4 vid/s  ok=1300 skip=0 decode_failed=0 missing=0
  1350/12000  10.4 vid/s  ok=1350 skip=0 decode_failed=0 missing=0
  1400/12000  10.4 vid/s  ok=1400 skip=0 decode_failed=0 missing=0
  1450/12000  10.5 vid/s  ok=1450 skip=0 decode_failed=0 missing=0
  1500/12000  10.5 vid/s  ok=1500 skip=0 decode_failed=0 missing=0
  1550/12000  10.6 vid/s  ok=1550 skip=0 decode_failed=0 missing=0
  1600/12000  10.6 vid/s  ok=1600 skip=0 decode_failed=0 missing=0
  1650/12000  10.6 vid/s  ok=1650 skip=0 decode_failed=0 missing=0
  1700/12000  10.6 vid/s  ok=1700 skip=0 decode_failed=0 missing=0
  1750/12000  10.6 vid/s  ok=1750 skip=0 decode_failed=0 missing=0
  1800/12000  10.6 vid/s  ok=1800 skip=0 decode_failed=0 missing=0
  1850/12000  10.7 vid/s  ok=1850 skip=0 decode_failed=0 missing=0
  1900/12000  10.7 vid/s  ok=1900 skip=0 decode_failed=0 missing=0
  1950/12000  10.8 vid/s  ok=1950 skip=0 decode_failed=0 missing=0
  2000/12000  10.7 vid/s  ok=2000 skip=0 decode_failed=0 missing=0
  2050/12000  10.8 vid/s  ok=2050 skip=0 decode_failed=0 missing=0
  2100/12000  10.8 vid/s  ok=2100 skip=0 decode_failed=0 missing=0
  2150/12000  10.8 vid/s  ok=2150 skip=0 decode_failed=0 missing=0
  2200/12000  10.8 vid/s  ok=2200 skip=0 decode_failed=0 missing=0
  2250/12000  10.9 vid/s  ok=2250 skip=0 decode_failed=0 missing=0
  2300/12000  10.9 vid/s  ok=2300 skip=0 decode_failed=0 missing=0
  2350/12000  10.9 vid/s  ok=2350 skip=0 decode_failed=0 missing=0
  2400/12000  10.9 vid/s  ok=2400 skip=0 decode_failed=0 missing=0
  2450/12000  10.9 vid/s  ok=2450 skip=0 decode_failed=0 missing=0
  2500/12000  10.9 vid/s  ok=2500 skip=0 decode_failed=0 missing=0
  2550/12000  11.0 vid/s  ok=2550 skip=0 decode_failed=0 missing=0
  2600/12000  10.9 vid/s  ok=2600 skip=0 decode_failed=0 missing=0
  2650/12000  11.0 vid/s  ok=2650 skip=0 decode_failed=0 missing=0
  2700/12000  10.9 vid/s  ok=2700 skip=0 decode_failed=0 missing=0
  2750/12000  11.0 vid/s  ok=2750 skip=0 decode_failed=0 missing=0
  2800/12000  11.0 vid/s  ok=2800 skip=0 decode_failed=0 missing=0
  2850/12000  11.0 vid/s  ok=2850 skip=0 decode_failed=0 missing=0
  2900/12000  11.0 vid/s  ok=2900 skip=0 decode_failed=0 missing=0
  2950/12000  11.0 vid/s  ok=2950 skip=0 decode_failed=0 missing=0
  3000/12000  11.1 vid/s  ok=3000 skip=0 decode_failed=0 missing=0
  3050/12000  11.1 vid/s  ok=3050 skip=0 decode_failed=0 missing=0
  3100/12000  11.1 vid/s  ok=3100 skip=0 decode_failed=0 missing=0
  3150/12000  11.2 vid/s  ok=3150 skip=0 decode_failed=0 missing=0
  3200/12000  11.2 vid/s  ok=3200 skip=0 decode_failed=0 missing=0
  3250/12000  11.2 vid/s  ok=3250 skip=0 decode_failed=0 missing=0
  3300/12000  11.2 vid/s  ok=3300 skip=0 decode_failed=0 missing=0
  3350/12000  11.3 vid/s  ok=3350 skip=0 decode_failed=0 missing=0
  3400/12000  11.3 vid/s  ok=3400 skip=0 decode_failed=0 missing=0
