exp_tag,phase,feature_combo,w_cls,w_fall,w_fallen,input_dim,use_diff,pose_npz,seg_acc,fall_f1,fall_precision,fall_recall,fallen_f1,fallen_precision,fallen_recall,avg_f1,gap,test_loss,best_epoch,epochs_run
p3a_diff_pose,3a_ablation,RGB+¦¤clip+Pose,1.0,0.5,0.5,1123,True,True,0.5393333333333333,0.5981112277019937,0.5307262569832403,0.6850961538461539,0.5973741794310722,0.5896328293736501,0.6053215077605322,0.5977427035665329,0.0007370482709214699,5.126992915806017,33,48
p3a_pose,3a_ablation,RGB+Pose,1.0,0.5,0.5,611,False,True,0.5456666666666666,0.5529157667386609,0.5019607843137255,0.6153846153846154,0.5544100801832761,0.5734597156398105,0.5365853658536586,0.5536629234609685,0.0014943134446151474,6.310457041389064,57,72
p3a_diff,3a_ablation,RGB+¦¤clip,1.0,0.5,0.5,1024,True,False,0.5091666666666667,0.5397489539748954,0.4777777777777778,0.6201923076923077,0.5584905660377358,0.6453488372093024,0.49223946784922396,0.5491197600063156,0.018741612062840418,7.479756173334624,47,62
p3a_rgb,3a_ablation,RGB,1.0,0.5,0.5,512,False,False,0.43966666666666665,0.5318725099601593,0.45408163265306123,0.6418269230769231,0.5470417070805044,0.4862068965517241,0.6252771618625277,0.5394571085203319,0.015169197120345035,4.241958084859346,21,36
p3b_fall_reduce,3b_weight_search,RGB+¦¤clip+Pose,1.0,0.3,0.5,1123,True,True,0.5523333333333333,0.5659617321248741,0.48700173310225303,0.6754807692307693,0.5898617511520737,0.6139088729016786,0.5676274944567627,0.5779117416384739,0.023900019027199626,5.144670040983903,40,55
p3b_equal,3b_weight_search,RGB+¦¤clip+Pose,1.0,1.0,1.0,1123,True,True,0.5603333333333333,0.5778781038374717,0.5446808510638298,0.6153846153846154,0.5710814094775213,0.6317204301075269,0.5210643015521065,0.5744797566574965,0.00679669435995045,13.656605111925225,71,86
p3b_fallen_x2,3b_weight_search,RGB+¦¤clip+Pose,1.0,0.5,1.0,1123,True,True,0.5403333333333333,0.5689277899343544,0.5220883534136547,0.625,0.5658536585365853,0.6287262872628726,0.5144124168514412,0.5673907242354699,0.003074131397769131,9.29455628520564,44,59
p3b_fallen_x3,3b_weight_search,RGB+¦¤clip+Pose,1.0,0.5,1.5,1123,True,True,0.555,0.5741728922091782,0.5163147792706334,0.6466346153846154,0.5551425030978935,0.6292134831460674,0.49667405764966743,0.5646576976535358,0.01903038911128474,13.347966940779434,60,75
p3b_balanced,3b_weight_search,RGB+¦¤clip+Pose,1.0,0.3,1.0,1123,True,True,0.5631666666666667,0.5568544102019128,0.4990476190476191,0.6298076923076923,0.554601226993865,0.6208791208791209,0.5011086474501109,0.5557278185978889,0.002253183208047793,9.458745448212875,54,69
p3c_pose_balanced,3c_seesaw_fix,RGB+Pose,1.0,0.3,1.0,611,False,True,0.524,0.5670103092783505,0.4963898916967509,0.6610576923076923,0.5461077844311377,0.59375,0.5055432372505543,0.5565590468547441,0.020902524847212778,9.253322720527649,64,79
p3c_pose_fall_reduce,3c_seesaw_fix,RGB+Pose,1.0,0.3,0.5,611,False,True,0.5115,0.5393835616438356,0.41888297872340424,0.7572115384615384,0.5655913978494623,0.5490605427974948,0.5831485587583148,0.552487479746649,0.026207836205626722,4.304553696983739,29,44
p3d_cls2,unknown,RGB+¦¤clip+Pose,2.0,0.5,0.5,1123,True,True,0.5071666666666667,0.5657202944269191,0.502803738317757,0.6466346153846154,0.547085201793722,0.45933734939759036,0.6762749445676275,0.5564027481103205,0.01863509263319707,7.840367174148559,23,38
p3d_cls05,unknown,RGB+¦¤clip+Pose,0.5,0.5,0.5,1123,True,True,0.43616666666666665,0.5433070866141733,0.46,0.6634615384615384,0.5670419651995906,0.526615969581749,0.614190687361419,0.5551745259068819,0.02373487858541734,3.065154719352722,30,45
p3d_fall07,unknown,RGB+¦¤clip+Pose,1.0,0.7,0.5,1123,True,True,0.497,0.5342163355408388,0.49387755102040815,0.5817307692307693,0.5362485615650172,0.5574162679425837,0.516629711751663,0.5352324485529281,0.0020322260241784074,6.70894763469696,58,60
p3d_fallen2,unknown,RGB+¦¤clip+Pose,1.0,0.5,2.0,1123,True,True,0.45616666666666666,0.5068259385665529,0.39285714285714285,0.7139423076923077,0.5348837209302325,0.5623471882640587,0.5099778270509978,0.5208548297483927,0.028057782363679618,10.201922750473022,41,56
p3d_fallen07,unknown,RGB+¦¤clip+Pose,1.0,0.5,0.7,1123,True,True,0.37516666666666665,0.5119453924914675,0.3968253968253968,0.7211538461538461,0.5204236006051437,0.3949483352468427,0.7627494456762749,0.5161844965483056,0.008478208113676167,3.4061597347259522,7,22
p3d_fall10,unknown,RGB+¦¤clip+Pose,1.0,1.0,0.5,1123,True,True,0.3993333333333333,0.5271593944790739,0.4186704384724187,0.7115384615384616,0.47613219094247244,0.32882502113271345,0.8625277161862528,0.5016457927107731,0.05102720353660145,4.108214282989502,14,29
