experiment,features,architecture,input_dim,window,fall_f1,fallen_f1,avg_f1,seg_acc,fall_precision,fall_recall,fallen_precision,fallen_recall,train_val_gap,best_epoch,n_params
p4a_rn18_baseline,ResNet18,Transformer 1L/384d,512,T=32,0.5450495655366541,0.4563076923076923,0.5006786289221732,0.5126146788990825,0.46385868433112526,0.6606930928079753,0.44763054633262905,0.46532789457169754,-7.33,25,1979154
p4a_dino_baseline,DINOv2 ViT-L,Transformer 1L/384d,1024,T=32,0.6598763773179253,0.5913882581900746,0.625632317754,0.6917447916666667,0.6030553099518616,0.7285188701637788,0.5398423331729524,0.6538168452194182,-5.69,20,2175762
p4b_dino,DINOv2 ViT-L,Transformer 1L/384d,1024,T=32,0.6598763773179253,0.5913882581900746,0.625632317754,0.6917447916666667,0.6030553099518616,0.7285188701637788,0.5398423331729524,0.6538168452194182,-5.69,20,2175762
p4b_dino_diff,DINOv2 ViT-L+Δframe,Transformer 1L/384d,2048,T=32,0.6338396253266748,0.5620412051478417,0.5979404152372583,0.6698697916666667,0.5619637531543932,0.7267980061713744,0.4817791725374664,0.6743915011878614,-2.75,5,2568978
p4b_dino_pose,DINOv2 ViT-L+Pose,Transformer 1L/384d,1123,T=32,0.6392716904684491,0.5798135356509266,0.6095426130596879,0.6886681547619048,0.55250529592322,0.7583669594113458,0.5007334485119145,0.688556188085526,-3.11,9,2213778
p4b_dino_diff_pose,DINOv2 ViT-L+Δframe+Pose,Transformer 1L/384d,2147,T=32,0.652876926569634,0.5984807379272925,0.6256788322484632,0.7007924107142857,0.5678118555570181,0.767920721576074,0.5599203405052912,0.6427450804608006,-3.97,11,2606994
p4c_base,DINOv2 ViT-L,Transformer 1L/384d d=0.3,1024,T=32,0.6598763773179253,0.5913882581900746,0.625632317754,0.6917447916666667,0.6030553099518616,0.7285188701637788,0.5398423331729524,0.6538168452194182,-5.69,20,2175762
p4c_h768,DINOv2 ViT-L,Transformer 1L/768d d=0.3,1024,T=32,0.6510313173434833,0.5930160193615305,0.6220236683525069,0.6879836309523809,0.6160813602415383,0.6901851412295277,0.6103624976276333,0.5766282666188534,-7.31,28,7890450
p4c_L2,DINOv2 ViT-L,Transformer 2L/384d d=0.3,1024,T=32,0.6457824789802007,0.5968388873230276,0.6213106831516142,0.7019270833333333,0.5947147567189529,0.7064443389508663,0.5779793398841018,0.6169707293020754,-6.44,24,3950226
p4c_L2h768,DINOv2 ViT-L,Transformer 2L/768d d=0.2,1024,T=32,0.6549813411738098,0.5956360154130281,0.625308678293419,0.6674255952380952,0.6254859611231102,0.687396154759079,0.6061252900232018,0.5855036084091623,-5.83,17,14978322
p4c_drop01,DINOv2 ViT-L,Transformer 1L/384d d=0.1,1024,T=32,0.6459162303664922,0.5837061609305777,0.6148111956485349,0.6773028273809524,0.5778995690462807,0.732079278423926,0.5687733923103097,0.5994441705141422,-5.84,20,2175762
p4d_T16,DINOv2 ViT-L,Transformer 1L/384d,1024,T=16,0.6178085823580654,0.5690496915565985,0.5934291369573319,0.6649189814814814,0.5433348877489841,0.7159410112359551,0.5912701533621707,0.548438867814415,-7.80,27,2175762
p4d_vitg,DINOv2 ViT-g,Transformer 1L/384d,1536,T=32,0.6571051429151648,0.6458734220041868,0.6514892824596759,0.7154315476190476,0.5741726554875344,0.7680394018514123,0.6113201505083661,0.6845667667757407,-5.07,17,2372370
