[1] 加载 facebook/dinov2-giant(fp16) + LoRA(r=16) + Phase6 bridge 头
  梯度 checkpointing: True
  可训练参数: 10.82M (LoRA + 时序头；主干冻结 fp16)
[2] 窗口数据集: data/p9e1_frames (window=64, stride=16)
  训练视频: 2000 | 窗口: 4000 | 类权重 fall/fallen/normal: [1.336, 1.532, 0.132]
step 50 | loss 2.6561 | fall/fallen/normal acc 0.034/0.087/0.925 | lr 1.00e-04
step 100 | loss 3.0311 | fall/fallen/normal acc 0.123/0.064/0.960 | lr 1.00e-04
step 150 | loss 2.0364 | fall/fallen/normal acc 0.000/0.000/0.991 | lr 1.00e-04
step 200 | loss 1.8909 | fall/fallen/normal acc 0.163/0.156/0.963 | lr 1.00e-04
step 250 | loss 1.9723 | fall/fallen/normal acc 0.316/0.321/0.903 | lr 1.00e-04
step 300 | loss 1.2311 | fall/fallen/normal acc 0.435/0.305/0.871 | lr 1.00e-04
step 350 | loss 0.9138 | fall/fallen/normal acc 0.480/0.402/0.966 | lr 1.00e-04
step 400 | loss 1.1925 | fall/fallen/normal acc 0.457/0.130/0.920 | lr 1.00e-04
step 450 | loss 0.5627 | fall/fallen/normal acc 0.332/0.471/0.941 | lr 1.00e-04
step 500 | loss 0.9460 | fall/fallen/normal acc 0.504/0.696/0.937 | lr 1.00e-04
step 550 | loss 1.4388 | fall/fallen/normal acc 0.518/0.563/0.945 | lr 1.00e-04
step 600 | loss 0.9999 | fall/fallen/normal acc 0.553/0.174/0.951 | lr 1.00e-04
[VAL] step 600 | f1 0.6498 | fallen prec 0.6098 rec 0.7515 | train_loss 1.5726
  [BEST] 新最优 f1=0.6498 → best_model.pt
step 650 | loss 0.5926 | fall/fallen/normal acc 0.686/0.720/0.945 | lr 1.00e-04
step 700 | loss 0.8199 | fall/fallen/normal acc 0.630/0.383/0.959 | lr 1.00e-04
step 750 | loss 0.6859 | fall/fallen/normal acc 0.549/0.734/0.952 | lr 1.00e-04
step 800 | loss 0.8935 | fall/fallen/normal acc 0.679/0.570/0.939 | lr 1.00e-04
step 850 | loss 0.4956 | fall/fallen/normal acc 0.582/0.213/0.976 | lr 1.00e-04
step 900 | loss 1.0443 | fall/fallen/normal acc 0.332/0.538/0.974 | lr 1.00e-04
step 950 | loss 1.0975 | fall/fallen/normal acc 0.531/0.622/0.893 | lr 1.00e-04
step 1000 | loss 0.4614 | fall/fallen/normal acc 0.700/0.789/0.940 | lr 1.00e-04
