== launch Mon Sep  7 21:50:14 CST 2026 E1@6000 ep4 ==
PID=210342
WATCHDOG: pid 210342 exited rc=127 at Mon Sep  7 21:50:14 CST 2026
[1] 加载 facebook/dinov2-giant(fp16) + LoRA(r=16) + Phase6 bridge 头
/root/miniconda3/lib/python3.10/site-packages/torchvision/io/image.py:13: UserWarning: Failed to load image Python extension: '/root/miniconda3/lib/python3.10/site-packages/torchvision/image.so: undefined symbol: _ZN3c1017RegisterOperatorsD1Ev'If you don't plan on using image functionality from `torchvision.io`, you can ignore this warning. Otherwise, there might be something wrong with your environment. Did you have `libjpeg` or `libpng` installed before building `torchvision` from source?
  warn(
Loading weights:   0%|          | 0/727 [00:00<?, ?it/s]Loading weights:  65%|██████▍   | 469/727 [00:00<00:00, 4666.05it/s]Loading weights: 100%|██████████| 727/727 [00:00<00:00, 4144.50it/s]
/root/miniconda3/lib/python3.10/site-packages/torch/nn/modules/transformer.py:379: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.norm_first was True
  warnings.warn(
  梯度 checkpointing: True
  可训练参数: 10.82M (LoRA + 时序头；主干冻结 fp16)
[2] mp4 现解码数据集: data/e1_6000_manifest.csv (window=64, stride=16, workers=16)
  训练视频: 6000 | 窗口: 12000 | 类权重 fall/fallen/normal: [1.342, 1.526, 0.133]
step 50 | loss 3.5960 | fall/fallen/normal acc 0.018/0.120/0.924 | lr 1.00e-04
step 100 | loss 1.6896 | fall/fallen/normal acc 0.014/0.110/0.925 | lr 1.00e-04
step 150 | loss 2.6631 | fall/fallen/normal acc 0.226/0.220/0.904 | lr 1.00e-04
step 200 | loss 1.7030 | fall/fallen/normal acc 0.213/0.185/0.919 | lr 1.00e-04
step 250 | loss 1.8227 | fall/fallen/normal acc 0.065/0.014/0.958 | lr 1.00e-04
step 300 | loss 1.4895 | fall/fallen/normal acc 0.103/0.250/0.968 | lr 1.00e-04
step 350 | loss 0.6898 | fall/fallen/normal acc 0.424/0.553/0.953 | lr 1.00e-04
step 400 | loss 1.6922 | fall/fallen/normal acc 0.340/0.476/0.885 | lr 1.00e-04
step 450 | loss 1.1580 | fall/fallen/normal acc 0.354/0.519/0.933 | lr 1.00e-04
step 500 | loss 1.2657 | fall/fallen/normal acc 0.473/0.518/0.877 | lr 1.00e-04
step 550 | loss 1.3867 | fall/fallen/normal acc 0.479/0.345/0.858 | lr 1.00e-04
step 600 | loss 0.8780 | fall/fallen/normal acc 0.616/0.525/0.932 | lr 1.00e-04
[VAL] step 600 | f1 0.7380 | fallen prec 0.8513 rec 0.6697 | train_loss 1.6695
  [BEST] 新最优 f1=0.7380 → best_model.pt
step 650 | loss 0.5384 | fall/fallen/normal acc 0.291/0.816/0.957 | lr 1.00e-04
step 700 | loss 0.9706 | fall/fallen/normal acc 0.572/0.471/0.947 | lr 1.00e-04
step 750 | loss 0.5433 | fall/fallen/normal acc 0.558/0.729/0.937 | lr 1.00e-04
step 800 | loss 0.8727 | fall/fallen/normal acc 0.728/0.407/0.955 | lr 1.00e-04
step 850 | loss 0.8408 | fall/fallen/normal acc 0.499/0.358/0.960 | lr 1.00e-04
step 900 | loss 0.7953 | fall/fallen/normal acc 0.391/0.560/0.956 | lr 1.00e-04
step 950 | loss 0.7032 | fall/fallen/normal acc 0.401/0.632/0.963 | lr 1.00e-04
step 1000 | loss 0.3421 | fall/fallen/normal acc 0.719/0.395/0.975 | lr 1.00e-04
step 1050 | loss 1.0982 | fall/fallen/normal acc 0.592/0.348/0.934 | lr 1.00e-04
step 1100 | loss 0.9432 | fall/fallen/normal acc 0.372/0.666/0.933 | lr 1.00e-04
step 1150 | loss 0.5689 | fall/fallen/normal acc 0.761/0.618/0.961 | lr 1.00e-04
step 1200 | loss 0.7533 | fall/fallen/normal acc 0.307/0.570/0.949 | lr 1.00e-04
[VAL] step 1200 | f1 0.7849 | fallen prec 0.7670 rec 0.7939 | train_loss 0.7475
  [BEST] 新最优 f1=0.7849 → best_model.pt
step 1250 | loss 0.8269 | fall/fallen/normal acc 0.642/0.631/0.938 | lr 1.00e-04
step 1300 | loss 0.9544 | fall/fallen/normal acc 0.536/0.531/0.975 | lr 1.00e-04
step 1350 | loss 0.7654 | fall/fallen/normal acc 0.505/0.493/0.965 | lr 1.00e-04
step 1400 | loss 0.4110 | fall/fallen/normal acc 0.605/0.722/0.953 | lr 1.00e-04
step 1450 | loss 0.5609 | fall/fallen/normal acc 0.755/0.606/0.949 | lr 1.00e-04
step 1500 | loss 0.9009 | fall/fallen/normal acc 0.539/0.631/0.944 | lr 1.00e-04
step 1550 | loss 0.3835 | fall/fallen/normal acc 0.857/0.704/0.941 | lr 1.00e-04
step 1600 | loss 0.5816 | fall/fallen/normal acc 0.591/0.514/0.976 | lr 1.00e-04
step 1650 | loss 0.7025 | fall/fallen/normal acc 0.662/0.373/0.968 | lr 1.00e-04
step 1700 | loss 0.4066 | fall/fallen/normal acc 0.542/0.699/0.958 | lr 1.00e-04
